POSITION_TITLE,RESUME_NUMBER,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWORDS,COMMUNITY SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,Language,Category
HR MANAGER,11480899,"['compensation/payroll', 'regulatory compliance', 'staff development', 'compensation/benefits administration', 'policy/program development', 'salary structure/compensation analysis', 'performance management strategies', 'interviewing expertise', 'staffing and recruiting professional', 'hiring and retention', 'training and development', 'employee relations']",3.0,3.0,Publicdministration,12,0,0,0,0,42.0,"['administrative', 'administrative support', 'advertising', 'as set', 'benefits', 'business plan', 'clarify', 'good communication skills', 'interpersonal skills', 'continuous improvement', 'decision making', 'english', 'film', 'hiring', 'human resource', 'hr', 'law', 'legal compliance', 'managerial', 'managing', 'exchange', 'organizational', 'payroll', 'performance appraisal', 'performance management', 'personnel', 'policies', 'processes', 'procurement', 'progress', 'promotion', 'speaking', 'purchase requisitions', 'purchasing', 'recruitment', 'recruiting', 'reporting', 'scheduling', 'strategic', 'strategic plans', 'type', 'workflow']",1.0,HR
HR MANAGER,23155093,['leadership'],,2.0,,15,0,0,0,0,16.0,"['management', 'administrative support', 'coach', 'excellent communication skills', 'customer service', 'french', 'human resources', 'leadership', 'team lead', 'mentor', 'effective communicator', 'project management', 'project lead', 'researching', 'spanish', 'supervision.']",2.0,HR
HR GENERALIST,11763983,"['word', 'excel', 'powerpoint', 'darwin', 'act', 'attendance advisor', 'erp/as400', 'hris', 'adp payroll', 'paycor', 'internet explorer', 'outlook', 'kronos', 'ifas', 'peoplesoft', 'epicor', 'winpak', 'e2', 'wasp', 'accomplishments', 'created and implemented employee requisition procedure', 'developed and executed employee internship/co-op program']",2.0,2.0,Business Administration,12,1,1,1,1,23.0,"['aca', 'adp payroll', 'as400', 'benefits', 'benefits administration', 'consultation', 'erp', 'hiring', 'hris', 'internet explorer', 'kronos', 'labor relations', 'excel', 'outlook', 'powerpoint', 'word', 'organization development', 'payroll', 'peoplesoft', 'personnel policies', 'recruitment', 'sox', 'employee handbook']",1.0,HR
HR COORDINATOR,27490876,set(),,3.0,,7,0,0,0,0,28.0,"['administrative', 'ad', 'arbitration', 'agency', 'budget', 'consultant', 'database', 'employee relations', 'hiring', 'hris', 'human resource', 'human resources', 'hr', 'team building', 'leadership', 'materials', 'meetings', 'newsletter', 'organizational', 'performance management', 'personnel', 'presentations', 'processes', 'recruiting', 'recruitment', 'reporting', 'staffing', 'teacher']",1.0,HR
HR ANALYST,93002334,set(),2.0,3.0,Psychology,8,0,0,0,0,16.0,"['systems: excel', 'outlook', 'power point', 'visio', 'one note', 'share point', 'sap', 'advise hr', 'siebel', 'talx', 'autonomy', 'survey monkey', 'taleo', 'training: prosci change management certification (2015)', 'herrmann brain dominance instrument (2014)', 'interview skills selection and development (2014)']",1.0,HR
HR DIRECTOR,24184357,['analytical'],,3.0,,17,1,1,1,1,38.0,"['good interpersonal skills', 'organizational skills', 'communication skills', 'recruiting and staffing\tperformance management', 'employee relations', 'selection/recruiting', 'employee orientation\ttraining & development', 'policy & procedure writing\tdetail organization', 'staff supervision', 'employee records system', 'on-the-job training', 'job analysis', 'cold calling', 'internet sourcing', 'compensation', 'labor laws', 'labor policies', 'equal employment opportunity\tinterviewing', 'discipline issues', 'social networking\trecruitment advertising', 'campus recruiting', 'osha standards', 'employee grievance\temployee verification', 'screen/schedule candidates\tcommunity outreach', 'computer skills', 'microsoft office word\texcel', 'outlook', 'powerpoint', 'publisher', 'health care is', 'hris systems', 'peoplesoft\tchild care is', 'day care software', 'quickbooks', 'data input', 'accomplishments', 'devised a successful recruiting plan for my employer', 'which resulted in 25 new employees in 2-months.']",1.0,HR
HR GENERALIST/RECRUITER,73077810,"['adp', 'people fluent', 'microsoft offices', 'interviewing expertise', 'performance management strategies', 'benefits administrator', 'employee relations', 'benefits administrator', 'manager coaching and training', 'hris applications proficient', 'payroll expertise', 'national human resources association', 'event management', 'employee handbook development', 'quickbooks proficiency', 'alternative dispute resolution (adr)', 'staffing and recruiting professional', 'accomplishments', 'led the staffing planning committee for [number] yearsintroduced the first passive open enrollment processhuman resources', 'reduced employee turnover by 10%']",3.0,3.0,Administrativecience,10,0,0,0,0,27.0,"['adp', 'benefits', 'closing', 'coach', 'coaching', 'competitive', 'customer service', 'database', 'hiring', 'hris', 'hr', 'insurance', 'logistics', 'director', 'mentoring', 'windows', 'performance management', 'personnel', 'policies', 'processes', 'protocols', 'quality', 'recruiting', 'recruitment', 'sales', 'staffing', 'workflow']",1.0,HR
HR CONSULTING,13879043,set(),2.0,3.0,Commerce NDC,0,0,0,0,0,32.0,"['benefits', 'budget', 'client', 'delivery', 'hiring', 'human resource', 'hr', 'insurance', 'leadership', 'people management', 'managerial', 'managing', 'market', 'mentor', 'mis', 'negotiations', 'networking', 'internet research', 'optimization', 'organization development', 'payroll', 'performance management', 'philosophy', 'policies', 'processes', 'promotion', 'recruitment', 'recruiting', 'seminars', 'strategic', 'additional information', 'team spot award for being the best team in driving performance management team lead award for "" mentor me program"" human resource generalist core functional strengths professional experience academic credentials computers core competencies and awards']",1.0,HR
HR GENERALIST,30163002,set(),2.0,3.0,ARTS SYCHOLOGY,4,0,0,0,0,26.0,"['business development', 'central point of contact', 'closing', 'client', 'clients', 'email', 'employee relations', 'fashion', 'fast', 'faxes', 'meetings', 'access', 'mail', 'office', 'powerpoint presentations', 'neat', 'payroll', 'personnel', 'quality', 'receptionist', 'reception', 'sales', 'spreadsheets', 'spreadsheet', 'telephone', 'employee handbooks']",1.0,HR
HR ASSOCIATE,18827609,set(),2.0,3.0,Business Administration,0,1,1,1,1,39.0,"['recruiting', 'onboarding', 'project management', 'event planning', 'employee relations', 'teamwork/collaboration', 'training and development', 'public speaking', 'social media marketing', 'adp', 'workday', 'microsoft office suite', 'adp', 'benefits', 'branding', 'budget', 'oral communication', 'competitive', 'email', 'employee relations', 'event planning', 'focus', 'hiring', 'hris', 'hr', 'leadership', 'marketing', 'ms excel', 'microsoft office suite', 'product manager', 'project management', 'public speaking', 'recruiting', 'recruitment', 'researching', 'strategy', 'teamwork', 'workshops', 'written']",1.0,HR
HR SPECIALIST,25676643,set(),2.0,3.0,Arts,0,0,0,0,0,22.0,"['hr advisory services', 'strategic recruitment planning', 'hr policies & procedures', 'staff recruitment & retention', 'hr program/project management', 'orientation & onboarding', 'performance management', 'delegated examining', 'classification and position management', 'special emphasis programs', 'ms office (word', 'excel', 'powerpoint', 'access', 'outlook)', 'excellent interpersonal and coaching skills', 'recruiting and selection techniques', 'proficient communicator', 'talent assessments', 'leadership development', 'delegated examining', 'social media management and recruitment']",1.0,HR
HR COORDINATOR,12786012,"['employee relations', 'compensation administration', 'personnel records maintenance', 'new hire orientation', 'hiring and retention', 'training and development', 'compensation/payroll', 'staffing and recruiting professional', 'off-boarding', 'interviewing expertise', 'performance management strategies', 'benefits administrator', 'employment law knowledge', 'hris applications proficient', 'employee handbook development', 'new employee orientations', 'human resources audits', 'maintains confidentiality', 'hr policies and procedures expertise', 'human resources management', 'excellent interpersonal and coaching']",2.0,3.0,Communications ommunications,6,0,0,0,0,15.0,"['benchmarking', 'benefits', 'conflict resolution', 'direction', 'employee relations', 'performance management', 'personnel', 'policies', 'processes', 'recruitment', 'research', 'safety', 'staffing', 'strategic', 'training programs,']",1.0,HR
HR GENERALIST,87968870,"['hiring and retention', 'training and development', 'compensation and benefits', 'new hire orientation', 'compensation administration/payroll', 'mediation expertise', 'employee relations', 'labor agreements', 'regulatory compliance', 'knowledgeable in all hr systems']",,3.0,,10,0,0,0,0,23.0,"['ada', 'adp', 'benefits', 'clarify', 'employee relations', 'human resource', 'human resources', 'hr', 'insurance', 'law enforcement', 'mediation', 'ms office', 'office', 'sharepoint', 'organizational', 'performance management', 'personnel', 'policies', 'promotion', 'recruiting', 'recruitment', 'employee handbooks', 'vendor management']",1.0,HR
HR COORDINATOR,46258701,['exceptional interpersonal'],2.0,2.0,Business Administration,8,0,0,0,0,30.0,"['and qualifications', 'microsoft sharepoint', 'sap', 'sharepoint', 'excel', 'groupwise', 'incoming calls', 'ms office', 'ms outlook', 'outlook', 'phone system', 'receptionist', 'recruiter', 'sterling inforsystems', 'orange tree employment services', 'kenexa - ibm products', 'ultipro', 'new hires', 'sarbanes-oxley (sox)', 'scheduling', 'access', 'applicant tracking system', 'best practices', 'database', 'databases', 'employee performance', 'entry level', 'filing', 'leads', 'performance review']",1.0,HR
HR MANAGER/GENERALIST,14225422,set(),3.0,3.0,Scienceegree,27,0,0,0,0,33.0,"['adp payroll', 'attorney', 'benefits', 'billing', 'billings', 'ceridian', 'charts', 'coaching', 'competitive', 'contract negotiations', 'counseling', 'employee relations', 'features', 'forms', 'hris', 'hr', 'insurance', 'law', 'management reporting', 'office', 'organizational', 'payroll', 'performance reviews', 'personnel', 'policies', 'power supply', 'proposal', 'recruiting', 'recruitment', 'research', 'safety', 'staffing', 'vision']",1.0,HR
HR REPRESENTATIVE,29297973,set(),,3.0,,5,0,0,0,0,6.0,"['on-boarding', 'staffing and recruiting professional', 'payroll entry', 'accomplishments', 'managed human resources department for four months.', 'developed monthly employee newsletter.']",1.0,HR
HR DIRECTOR/ADMINISTRATOR,18334783,set(),2.0,3.0,Business Administration,7,1,1,1,1,23.0,"['administrative', 'budget', 'contracts', 'customer service', 'documentation', 'expense reports', 'financial', 'government', 'hiring', 'hr', 'office', 'office administration', 'office management', 'payroll', 'personnel', 'processes', 'proposals', 'quality', 'quality assurance', 'roscoe', 'sales', 'supervising', 'transmission']",1.0,HR
HR INTERN,19717385,set(),2.0,3.0,Mass Communication,1,1,1,1,1,10.0,"['microsoft excel', 'outlook', 'powerpoint', 'word.', 'excellent communication skills', 'organisational skills', 'spss', 'data entry', 'researches', ""autosuggestion as a mediator in weight management in female college students. master's""]",1.0,HR
HR ASSISTANT,49937469,"['interviewing expertise', 'employee relations', 'manager coaching and training', 'event management', 'employee handbook development', 'staffing and recruiting professional', 'off-boarding', 'accomplishments', 'organized hr generalist effective at record maintenance and assuring compliance with government employment regulations at all times', 'personable hr generalist versed in recruiting top employees to automotive companies and innovative start-ups']",2.0,2.0,ORGANIZATIONAL LEADERSHIP,0,0,0,0,0,38.0,"['academic', 'a.i.', 'attention to detail', 'back-up', 'benefits', 'benefits administration', 'budget', 'cash receipts', 'coaching', 'contracts', 'critical thinking', 'customer satisfaction', 'customer services', 'excellent customer service', 'customer service', 'employee relations', 'event management', 'hiring', 'hr', 'inventory', 'layout', 'leadership', 'meetings', 'excel', 'organizational skills', 'organizational', 'payroll', 'personnel', 'policies', 'problem-solving', 'reconciling', 'recruiting', 'research', 'retail', 'sales', 'staffing', 'store manager', 'employee handbooks']",1.0,HR
HR GENERALIST,18316239,"['staff recruitment & retention', 'employee relations', 'alternative dispute resolution (adr)', 'benefits administration', 'hr program/project management', 'orientation & onboarding', 'hris technologies', 'training & development', 'performance management', 'organizational development hris applications (ultipro', 'peoplesoft enterprise human resources', 'adp)', 'ms office (word', 'excel', 'powerpoint', 'access', 'outlook)']",,2.0,,0,0,0,0,0,11.0,"['abc', 'adp', 'adr', 'benefits', 'benefits administration', 'budget', 'coaching', 'us army databases', 'driving', 'employee relations', 'training']",1.0,HR
HR MANAGER,17855844,set(),2.0,3.0,Communications niversity,12,1,1,1,1,56.0,"['ada', 'administrative', 'adobe illustrator', 'art', 'agency', 'benefits', 'ceridian', 'change management', 'decision-making', 'dca', 'employee relations', 'special events', 'fast', 'focus', 'hiring', 'hris', 'hub', 'hubs', 'human resources', 'hr', 'information systems', 'kronos', 'leadership', 'legal', 'mental health', 'mental illness', 'access', 'excel', 'powerpoint', 'publisher', 'ms word', 'oracle', 'organizational development', 'organization development', 'organizational', 'performance management', 'personnel', 'policies', 'processes', 'recruiting', 'recruitment', 'sales', 'sap', 'seminars', 'staffing', 'strategic', 'strategic planning', 'supervisor', 'surveys', 'workshops', 'additional information', ""awards and professional affiliations: best results commitment survey award (bwr hr team) - 2006 thru 2011 director's award - 2008"", '2009', 'and', '2010 us human resources business partner award- 2007 * extra mile award - 2007 best in class - 2006 * people pillar award - 2006 * gold hat award - 2005 member of society of human resource management since 2001 certified career development facilitator freelance writer for ""grace"" magazine', 'a christian magazine that encourages and empowers women of all ages.']",1.0,HR
HR CONSULTANT,57667857,"['phr certified professionals in human resources association', 'excellent interpersonal and coaching']",2.0,3.0,BAAS allas,16,1,1,1,1,38.0,"['ada', 'advertisements', 'benefits', 'budgets', 'charts', 'competitive', 'counseling', 'databases', 'documentation', 'employee relations', 'firing', 'forms', 'hiring', 'human resources management', 'human resources', 'labor relations', 'legal', 'networking', 'organizing', 'organizational', 'performance appraisals', 'performance appraisals', 'recruiting', 'recruitment', 'research', 'safety', 'staffing', 'supervisory', 'employee development', 'employee handbooks.', 'additional information', 'additional skills', '*', 'volunteer of the year award', 'austin', 'tx 2012', '*', 'phr state certified ,united states']",1.0,HR
HR COORDINATOR,17422560,"['i have great knowledge of fax machines', 'printers', 'copiers', 'and computers', 'i type about\xa045 wpm with a great accuracy i also have microsoft word', 'excel access and powerpoint']",,2.0,,6,0,0,0,0,35.0,"['cash receipts', 'cash handling', 'cash register', 'client', 'customer service', 'data entry', 'direction', 'employee relations', 'faxes', 'fax machines', 'hiring', 'inventory', 'mailing', 'access', 'excel', 'mail', 'office', 'powerpoint', 'microsoft word', 'payroll', 'process payroll', 'copiers', 'printers', 'read', 'receptionist', 'recruiting', 'routing', 'sales', 'scheduling', 'staffing', 'take messages', 'answer phones', 'phone', 'type', '50 wpm']",1.0,HR
HR MANAGER,32947778,"['hiring and retention', 'training and development', 'recruiting', 'compensation/payroll', 'employee relations', 'personnel records maintenance', 'new hire orientation', 'meeting planning', ""workers' compensation knowledge"", 'labor relations', 'ms office', 'excellent interpersonal and coaching']",2.0,3.0,Arts,18,0,0,0,0,49.0,"['benefits', 'budget analysis', 'budgets', 'budget', 'coaching', 'contract negotiations', 'documentation', 'training employees', 'event planning', 'special events', 'executive management', 'senior management', 'firing', 'forms', 'functional', 'general manager', 'graphics', 'hiring', 'human resource management', 'human resource', 'human resources', 'hr', 'insurance', 'regulatory compliance', 'letters', 'logistics', 'director', 'managing', 'marketing', 'meetings', 'payroll', 'people soft', 'personnel', 'policies', 'presentations', 'press releases', 'pr', 'processes', 'promotion', 'recruiting', 'recruitment', 'reporting', 'sales', 'scheduling', 'sound', 'staffing', 'strategic', 'travel arrangements', 'workshops']",1.0,HR
HR GENERALIST,23914451,"['coaching and training', 'employment law knowledge', 'employee relations', 'event management', 'hris proficient', 'performance management', 'records maintenance', 'staffing and recruiting', 'succession planning', 'training and development', 'accomplishments', 'submitted over 25 eeoc responses', 'developed training guides for new hire orientation', 'time management system', 'applicant tracking system', 'and positive associate relations', 'introduced the first on-line applicant tracking system', 'implemented positive associate relations training for salary management']",2.0,3.0,Wildlife and,19,0,0,0,0,35.0,"['associate relations', 'audits', 'asset protection', 'coaching', 'eeoc responses', 'succession planning', 'terminations', 'customer service', 'retail sales', 'cash controls', 'bookkeeping', 'time management', 'budgets', 'lotus notes', 'bakery', 'merchandising', 'ordering', 'sales', 'sanitation', 'scheduling', 'budget preparation', 'conflict management', 'employment law', 'expense control', 'internal investigations', 'on-line learning', 'problem solving', 'project management', 'quick books', 'recruiting', 'retail marketing', 'self motivated', 'strategic planning', 'team building', 'training']",1.0,HR
HR PARTNER,21265194,"['project management', 'matrix management']",3.0,3.0,Counseling,17,1,1,1,1,11.0,"['title vii', 'ada', 'mid - senior level coaching/consultation', 'employee relations', 'partner with senior management and function management', 'hr policy interpretation', 'presentation/facilitation', 'collaboration/partnering skills', 'relationship building skills', 'additional information', 'special awards:']",1.0,HR
HR SPECIALIST,51769822,"['administration/', 'accounting/hr', 'administration / office support purchasing', 'inventory (po/pr)', 'accounting/hr payroll - billing - collection', 'sales management / marketing /', 'real estate / leasing', 'commercial & technical translations customer service certified', 'strong organizational', 'verbal and written communication']",2.0,3.0,Business Administration,15,0,0,0,0,28.0,"['office support:', 'accounting', 'billing', 'bookkeeping', 'customer service', 'employee relations', 'filing', 'hiring', 'hr', 'inventory', 'invoicing', 'marketing', 'meetings', 'excel', 'outlook', 'windows', 'word', 'payroll', 'pr', 'proposals', 'purchasing', 'real estate', 'sales management', 'spreadsheets', 'supervisor', 'training programs', 'translations', 'written communication']",2.0,HR
HR DIRECTOR,19616406,"['employee relations', 'benefits administrator', 'employment law knowledge', 'interviewing expertise', 'payroll expertise', 'manager coaching and training', 'staffing and recruiting professional']",,3.0,,0,0,0,0,0,61.0,"['processing accounts payable', 'administrative', 'administrative support', 'ads', 'audit reporting', 'reconciling bank statements', 'benefits', 'bonds', 'bookkeeping', 'brochures', 'hardware', 'conversion', 'client', 'database', 'database management', 'delivery', 'designing', 'documentation', 'e-mail', 'event planning', 'fashion', 'faxing', 'filing', 'forms', 'general ledger', 'government', 'hiring', 'hris', 'human resource', 'hr', 'imaging', 'information technology', 'insurance', 'law', 'letters', 'director', 'mailing', 'marketing and sales', 'meetings', 'money', 'office', 'mis', 'monitors', 'next', 'payroll', 'performance appraisals', 'personnel', 'policies', 'radio', 'recording', 'reporting', 'safety', 'scheduling', 'software installation', 'spreadsheets', 'staffing', 'phone', 'video', 'vision', 'website', 'year-end']",1.0,HR
HR EXECUTIVE,41523474,"['human resources management', 'people-oriented', 'new employee orientations', 'maintains confidentiality']",,3.0,,1,0,0,0,0,13.0,"['computer skills', '•spss software.', '•ms office – word', 'excel', 'power point', 'internet & e-mail operations.', 'key skills and management', '•professional management skills', '•meeting objectives', '•identifying problems', '•well-developed and effective communication skills.', '•thrive in deadline-driven environments.', '•excellent team-building skills.']",1.0,HR
HR EXECUTIVE,59962788,set(),,1.0,,0,0,0,0,0,13.0,"['new employee orientations', 'compensation and benefits', 'termination procedures', 'in-depth knowledge of hr compliance', 'project management', 'ms office proficient', 'knowledgeable in all hr systems', 'team building', 'employee recruitment', 'interpersonal skills', 'good communication skill', 'fast learner', 'flexibility']",1.0,HR
HR GENERALIST,86184722,set(),3.0,3.0,Businessdministration,10,0,0,0,0,11.0,"['microsoft office suite', 'sap', 'kronos', 'ibm', 'adp', 'ats', 'mss', 'hrss', 'and oracle', 'workbrain', 't']",1.0,HR
HR ASSISTANT,28419173,"['human resources understanding', 'scheduling proficiency', 'market research proficiency', 'report generation', 'critical thinking', 'eye for detail', 'self-directed nature', 'analytical problem solving', 'contracts', 'social media and networks', 'microsoft office suite', 'powerpoint', 'exceptional telephone etiquette', 'patient and diligent']",,2.0,,0,0,0,0,0,38.0,"['administrative support', 'anti-virus', 'billing', 'budget', 'oral communication', 'conferences', 'clients', 'customer satisfaction', 'databases', 'documentation', 'finance', 'help desk', 'inside sales', 'marketing', 'meetings', 'access database', 'excel spreadsheets', 'powerpoint', 'microsoft word', 'office manager', 'organizing', 'pricing', 'printers', 'problem solving', 'processes', 'coding', 'purchasing', 'quality', 'recording', 'recruitment', 'sales', 'scheduling', 'spreadsheets', 'surveys', 'travel arrangements', 'troubleshooting', 'websites', 'written communication']",1.0,HR
HR COORDINATOR,18155310,set(),,2.0,,9,0,0,0,0,57.0,"['customer service', 'receptionist', 'retail sales', 'advertising', 'budget', 'corrective action', 'cost reduction', 'forecasting', 'maintenance', 'office manager', 'paying', 'scheduling', 'surveying', 'accounting', 'administrative/financial', 'buying/procurement', 'financial/accounting', 'inventory', 'inventory control', 'purchasing', 'affirmative action', 'bi', 'business intelligence', 'claims', 'clients', 'coaching', 'compensation', 'contracts', 'disciplinary procedures', 'employee engagement', 'fmla', 'hr', 'interviewing', 'managerial', 'new hire paperwork', 'payroll', 'pto', 'recruiting', 'staffing', 'talent selection', 'tally', 'terminations', 'training', 'workers compensation', 'best practices', 'excel', 'excellent multitasker', 'kronos', 'ms word', 'outlook', 'performance management', 'powerpoint', 'simultaneously', 'word', 'food service', 'human resources', 'business management']",1.0,HR
